	target	TO_8_S8	TO_4_S4	TO_3_S3	TO_7_S7	TO_2_S2	TO_6_S6	TO_5_S5	TO_1_S1	TO_9_S9
PTRH2_+_57784762.23-P1P2|PTRH2_+_57784730.23-P1P2++PTRH2_+_57784762.23-P1P2|PTRH2_+_57784730.23-P1P2	PTRH2	1228	938	564	1112	2234	1028	906	634	804
PIAS2_+_44497443.23-P1|PIAS2_+_44497422.23-P1++PIAS2_+_44497443.23-P1|PIAS2_+_44497422.23-P1	PIAS2	2360	1312	730	2034	3060	1306	1376	1044	1222
FAM101B_+_295657.23-P1P2|FAM101B_+_295612.23-P1P2++FAM101B_+_295657.23-P1P2|FAM101B_+_295612.23-P1P2	FAM101B	608	424	278	654	886	506	532	360	440
CHRDL2_-_74442417.23-P1P2|CHRDL2_-_74442472.23-P1P2++CHRDL2_-_74442417.23-P1P2|CHRDL2_-_74442472.23-P1P2	CHRDL2	3688	2868	1416	3408	6024	2142	2768	2102	2166
CAMK2A_+_149669307.23-P1P2|CAMK2A_+_149669276.23-P1P2++CAMK2A_+_149669307.23-P1P2|CAMK2A_+_149669276.23-P1P2	CAMK2A	156	108	520	178	2076	126	124	584	114
LNPEP_+_96271872.23-P1P2|LNPEP_-_96271824.23-P1P2++LNPEP_+_96271872.23-P1P2|LNPEP_-_96271824.23-P1P2	LNPEP	416	242	106	432	398	228	234	104	222
non-targeting_00234|non-targeting_02569++non-targeting_00234|non-targeting_02569	non-targeting	1906	1490	730	1536	3210	1282	1340	1010	1120
ITLN2_-_160924607.23-P1|ITLN2_+_160924531.23-P1++ITLN2_-_160924607.23-P1|ITLN2_+_160924531.23-P1	ITLN2	1270	870	508	1166	1942	848	1064	748	674
ZNF705G_-_7220078.23-ENST00000400078.2|ZNF705G_-_7220274.23-ENST00000400078.2++ZNF705G_-_7220078.23-ENST00000400078.2|ZNF705G_-_7220274.23-ENST00000400078.2	ZNF705G	308	322	128	424	670	292	282	220	258
OLFM4_-_53602965.23-P1P2|OLFM4_+_53603000.23-P1P2++OLFM4_-_53602965.23-P1P2|OLFM4_+_53603000.23-P1P2	OLFM4	38	32	246	28	1078	36	24	482	28
LY6H_+_144241671.23-P1P2|LY6H_-_144241702.23-P1P2++LY6H_+_144241671.23-P1P2|LY6H_-_144241702.23-P1P2	LY6H	1620	1194	598	1362	2384	776	1146	696	964
KANK1_-_504766.23-P1P2|KANK1_+_504748.23-P1P2++KANK1_-_504766.23-P1P2|KANK1_+_504748.23-P1P2	KANK1	552	318	126	386	616	278	384	214	248
RBM43_-_152118291.23-P1P2|RBM43_-_152118305.23-P1P2++RBM43_-_152118291.23-P1P2|RBM43_-_152118305.23-P1P2	RBM43	786	860	310	1250	1152	682	822	374	406
DCN_-_91576558.23-P1|DCN_-_91576530.23-P1++DCN_-_91576558.23-P1|DCN_-_91576530.23-P1	DCN	1098	894	442	1670	1890	1094	916	546	900
non-targeting_02166|non-targeting_01584++non-targeting_02166|non-targeting_01584	non-targeting	356	570	370	634	1694	514	368	566	300
PLCH1_+_155394116.23-P2|PLCH1_-_155394111.23-P2++PLCH1_+_155394116.23-P2|PLCH1_-_155394111.23-P2	PLCH1	714	516	192	484	794	288	350	288	250
VIPAS39_+_77923897.23-P1P2|VIPAS39_+_77923885.23-P1P2++VIPAS39_+_77923897.23-P1P2|VIPAS39_+_77923885.23-P1P2	VIPAS39	1292	1120	654	1348	1916	952	814	646	622
CAPN10_+_241526185.23-P1P2|CAPN10_+_241526389.23-P1P2++CAPN10_+_241526185.23-P1P2|CAPN10_+_241526389.23-P1P2	CAPN10	1818	1462	668	1424	2766	1066	1252	1120	910
CPT1A_-_68609315.23-P1P2|CPT1A_-_68609263.23-P1P2++CPT1A_-_68609315.23-P1P2|CPT1A_-_68609263.23-P1P2	CPT1A	1450	1314	670	1396	2576	898	1136	968	922
TMEM121_-_105994983.23-P2|TMEM121_+_105995029.23-P2++TMEM121_-_105994983.23-P2|TMEM121_+_105995029.23-P2	TMEM121	376	578	282	524	1008	434	506	360	386
CERS5_+_50561104.23-P1P2|CERS5_-_50561138.23-P1P2++CERS5_+_50561104.23-P1P2|CERS5_-_50561138.23-P1P2	CERS5	342	400	118	250	690	296	280	180	214
CELF4_+_35145714.23-P1P2|CELF4_-_35145487.23-P1P2++CELF4_+_35145714.23-P1P2|CELF4_-_35145487.23-P1P2	CELF4	1132	942	324	728	1484	970	646	524	742
PLSCR4_-_145968805.23-P1P2|PLSCR4_-_145968811.23-P1P2++PLSCR4_-_145968805.23-P1P2|PLSCR4_-_145968811.23-P1P2	PLSCR4	884	1046	414	628	1574	590	638	490	508
RNF223_+_1009429.23-P1P2|RNF223_+_1009642.23-P1P2++RNF223_+_1009429.23-P1P2|RNF223_+_1009642.23-P1P2	RNF223	1088	766	304	778	1458	796	724	510	370
ZBTB14_-_5295498.23-P1P2|ZBTB14_+_5295839.23-P1P2++ZBTB14_-_5295498.23-P1P2|ZBTB14_+_5295839.23-P1P2	ZBTB14	66	56	488	104	1692	46	54	612	54
MARCO_+_119699941.23-P1P2|MARCO_-_119700065.23-P1P2++MARCO_+_119699941.23-P1P2|MARCO_-_119700065.23-P1P2	MARCO	964	936	410	842	1442	624	872	476	626
SCUBE3_-_35181869.23-P1P2|SCUBE3_-_35181878.23-P1P2++SCUBE3_-_35181869.23-P1P2|SCUBE3_-_35181878.23-P1P2	SCUBE3	824	1056	310	644	1490	486	686	450	622
SHF_+_45480124.23-P1|SHF_-_45480152.23-P1++SHF_+_45480124.23-P1|SHF_-_45480152.23-P1	SHF	542	524	220	286	886	398	310	306	348
PMS1_-_190649415.23-P1P2|PMS1_+_190649376.23-P1P2++PMS1_-_190649415.23-P1P2|PMS1_+_190649376.23-P1P2	PMS1	1420	1252	498	1348	2112	964	872	718	912
MAP1S_+_17830339.23-P1P2|MAP1S_-_17830335.23-P1P2++MAP1S_+_17830339.23-P1P2|MAP1S_-_17830335.23-P1P2	MAP1S	2102	1486	720	1908	3286	1504	1288	1024	1140
DHX57_+_39103007.23-P1P2|DHX57_-_39102980.23-P1P2++DHX57_+_39103007.23-P1P2|DHX57_-_39102980.23-P1P2	DHX57	1398	1170	424	1388	2112	696	1054	668	704
NMT2_+_15210668.23-P1P2|NMT2_+_15210685.23-P1P2++NMT2_+_15210668.23-P1P2|NMT2_+_15210685.23-P1P2	NMT2	746	578	230	624	996	426	564	296	408
USP15_-_62654201.23-P1P2|USP15_-_62654233.23-P1P2++USP15_-_62654201.23-P1P2|USP15_-_62654233.23-P1P2	USP15	1190	848	462	912	1838	892	908	656	710
KCNT1_-_138606320.23-P2|KCNT1_+_138606515.23-P2++KCNT1_-_138606320.23-P2|KCNT1_+_138606515.23-P2	KCNT1	1464	1326	532	1590	2820	1048	1100	978	804
RGMA_-_93632021.23-P1|RGMA_+_93632376.23-P1++RGMA_-_93632021.23-P1|RGMA_+_93632376.23-P1	RGMA	840	672	284	890	1216	466	458	314	356
SYN2_+_12045864.23-P1P2|SYN2_+_12045867.23-P1P2++SYN2_+_12045864.23-P1P2|SYN2_+_12045867.23-P1P2	SYN2	1432	912	550	1234	2160	732	938	704	862
TMEM54_+_33366959.23-P1P2|TMEM54_-_33366584.23-P1P2++TMEM54_+_33366959.23-P1P2|TMEM54_-_33366584.23-P1P2	TMEM54	664	726	410	826	1696	566	610	516	470
STRA8_-_134916748.23-ENST00000275764.3|STRA8_+_134916931.23-ENST00000275764.3++STRA8_-_134916748.23-ENST00000275764.3|STRA8_+_134916931.23-ENST00000275764.3	STRA8	1512	1434	440	1348	2152	922	1204	662	790
TXLNB_-_139613151.23-P1P2|TXLNB_-_139613168.23-P1P2++TXLNB_-_139613151.23-P1P2|TXLNB_-_139613168.23-P1P2	TXLNB	944	854	318	944	1492	714	856	536	566
COPRS_-_30186172.23-P1P2|COPRS_+_30186241.23-P1P2++COPRS_-_30186172.23-P1P2|COPRS_+_30186241.23-P1P2	COPRS	268	408	966	250	4384	260	236	1438	226
MON2_-_62860785.23-P1P2|MON2_-_62860994.23-P1P2++MON2_-_62860785.23-P1P2|MON2_-_62860994.23-P1P2	MON2	476	648	656	588	3056	578	688	1048	352
BNIPL_+_151009061.23-P1P2|BNIPL_-_151009135.23-P1P2++BNIPL_+_151009061.23-P1P2|BNIPL_-_151009135.23-P1P2	BNIPL	1662	1412	586	1464	2430	1204	1740	920	932
RAG1_-_36589567.23-P1P2|RAG1_+_36589595.23-P1P2++RAG1_-_36589567.23-P1P2|RAG1_+_36589595.23-P1P2	RAG1	704	520	180	574	802	412	494	272	402
SYN1_-_47479259.23-P1P2|SYN1_+_47479243.23-P1P2++SYN1_-_47479259.23-P1P2|SYN1_+_47479243.23-P1P2	SYN1	438	444	170	520	618	322	340	264	316
ZMYM3_-_70474736.23-P2|ZMYM3_-_70474706.23-P2++ZMYM3_-_70474736.23-P2|ZMYM3_-_70474706.23-P2	ZMYM3	1040	1070	462	1026	1878	736	1072	566	734
GRXCR1_-_42895196.23-P1P2|GRXCR1_-_42895359.23-P1P2++GRXCR1_-_42895196.23-P1P2|GRXCR1_-_42895359.23-P1P2	GRXCR1	1536	1350	562	1348	2366	978	1034	766	860
GPR182_-_57388306.23-P1P2|GPR182_+_57388370.23-P1P2++GPR182_-_57388306.23-P1P2|GPR182_+_57388370.23-P1P2	GPR182	1366	984	436	1674	1914	716	802	638	762
OR52N1_-_5809957.23-ENST00000317078.1|OR52N1_+_5809984.23-ENST00000317078.1++OR52N1_-_5809957.23-ENST00000317078.1|OR52N1_+_5809984.23-ENST00000317078.1	OR52N1	806	674	250	712	1378	576	446	500	504
TARP_+_38313220.23-P1P2|TARP_+_38312999.23-P1P2++TARP_+_38313220.23-P1P2|TARP_+_38312999.23-P1P2	TARP	962	558	350	522	1230	728	686	444	518
LGALS3BP_+_76975998.23-P1P2|LGALS3BP_+_76975977.23-P1P2++LGALS3BP_+_76975998.23-P1P2|LGALS3BP_+_76975977.23-P1P2	LGALS3BP	1578	1286	632	1676	2094	898	1092	674	776
ADO_-_64564781.23-P1P2|ADO_-_64564623.23-P1P2++ADO_-_64564781.23-P1P2|ADO_-_64564623.23-P1P2	ADO	1524	1418	578	1522	2702	1182	1126	900	972
CARD16_+_104916035.23-P1P2|CARD16_-_104916052.23-P1P2++CARD16_+_104916035.23-P1P2|CARD16_-_104916052.23-P1P2	CARD16	726	838	220	1236	1244	616	512	372	464
NFIB_+_14314559.23-P1P2|NFIB_+_14314562.23-P1P2++NFIB_+_14314559.23-P1P2|NFIB_+_14314562.23-P1P2	NFIB	1212	1152	486	1334	2198	704	1060	840	778
OR1E1_-_3301474.23-ENST00000322608.2|OR1E1_+_3301268.23-ENST00000322608.2++OR1E1_-_3301474.23-ENST00000322608.2|OR1E1_+_3301268.23-ENST00000322608.2	OR1E1	394	246	156	312	514	192	274	234	216
POLR3C_+_145610846.23-P1P2|POLR3C_+_145610906.23-P1P2++POLR3C_+_145610846.23-P1P2|POLR3C_+_145610906.23-P1P2	POLR3C	724	618	512	548	2180	658	528	776	458
SUOX_-_56391138.23-P1P2|SUOX_-_56391128.23-P1P2++SUOX_-_56391138.23-P1P2|SUOX_-_56391128.23-P1P2	SUOX	1056	1054	792	988	2736	922	1004	1044	592
MED20_+_41888837.23-P1P2|MED20_+_41888805.23-P1P2++MED20_+_41888837.23-P1P2|MED20_+_41888805.23-P1P2	MED20	20	18	184	4	716	18	8	282	10
C5orf30_+_102594537.23-P1P2|C5orf30_+_102594501.23-P1P2++C5orf30_+_102594537.23-P1P2|C5orf30_+_102594501.23-P1P2	C5orf30	1694	1382	656	1282	3088	1130	1098	1154	934
GLRX2_+_193074552.23-P1P2|GLRX2_+_193074503.23-P1P2++GLRX2_+_193074552.23-P1P2|GLRX2_+_193074503.23-P1P2	GLRX2	1380	1236	528	1368	2488	962	1114	776	910
FAM83F_-_40391006.23-P1P2|FAM83F_-_40391202.23-P1P2++FAM83F_-_40391006.23-P1P2|FAM83F_-_40391202.23-P1P2	FAM83F	1206	1038	342	1070	1912	738	688	452	666
KRT26_-_38928369.23-P1P2|KRT26_-_38928366.23-P1P2++KRT26_-_38928369.23-P1P2|KRT26_-_38928366.23-P1P2	KRT26	1782	1206	590	1298	2256	1060	1170	572	882
NPDC1_-_139940635.23-P1P2|NPDC1_+_139940089.23-P1P2++NPDC1_-_139940635.23-P1P2|NPDC1_+_139940089.23-P1P2	NPDC1	32	20	262	38	1544	16	42	380	26
OR1F1_+_3254221.23-ENST00000304646.2|OR1F1_+_3254260.23-ENST00000304646.2++OR1F1_+_3254221.23-ENST00000304646.2|OR1F1_+_3254260.23-ENST00000304646.2	OR1F1	1636	1194	478	1736	2170	900	1122	810	810
KCNIP2_-_103603544.23-P1P2|KCNIP2_-_103603492.23-P1P2++KCNIP2_-_103603544.23-P1P2|KCNIP2_-_103603492.23-P1P2	KCNIP2	1850	1238	446	1536	2142	986	1072	730	718
SMC4_-_160122206.23-P2|SMC4_-_160122169.23-P2++SMC4_-_160122206.23-P2|SMC4_-_160122169.23-P2	SMC4	754	516	262	680	1088	548	634	376	448
CBX2_-_77752000.23-P1P2|CBX2_-_77751997.23-P1P2++CBX2_-_77752000.23-P1P2|CBX2_-_77751997.23-P1P2	CBX2	1956	1548	798	1868	3052	1220	1580	1276	1120
FNDC8_-_33448724.23-P1P2|FNDC8_-_33448857.23-P1P2++FNDC8_-_33448724.23-P1P2|FNDC8_-_33448857.23-P1P2	FNDC8	1696	1356	602	1316	2494	1182	1142	816	854
HK3_-_176326300.23-P1P2|HK3_-_176326271.23-P1P2++HK3_-_176326300.23-P1P2|HK3_-_176326271.23-P1P2	HK3	776	746	300	822	1244	592	630	436	516
non-targeting_00389|non-targeting_03628++non-targeting_00389|non-targeting_03628	non-targeting	1852	1298	580	1334	2240	1146	1074	810	982
PAX2_-_102505851.23-P1P2|PAX2_+_102505347.23-P1P2++PAX2_-_102505851.23-P1P2|PAX2_+_102505347.23-P1P2	PAX2	126	54	414	72	1666	74	66	580	50
DVL2_+_7137643.23-P1P2|DVL2_+_7137801.23-P1P2++DVL2_+_7137643.23-P1P2|DVL2_+_7137801.23-P1P2	DVL2	918	766	412	1040	1944	502	772	646	598
RNF187_+_228675125.23-P1|RNF187_+_228675110.23-P1++RNF187_+_228675125.23-P1|RNF187_+_228675110.23-P1	RNF187	1944	1784	648	1910	2888	1372	1170	956	1248
S100A16_+_153585620.23-P1P2|S100A16_+_153585512.23-P1P2++S100A16_+_153585620.23-P1P2|S100A16_+_153585512.23-P1P2	S100A16	106	90	214	142	932	132	120	272	40
SCN7A_+_167350635.23-P1P2|SCN7A_-_167350703.23-P1P2++SCN7A_+_167350635.23-P1P2|SCN7A_-_167350703.23-P1P2	SCN7A	1560	1284	464	1404	1898	1016	954	712	790
SLC23A2_+_4982121.23-P1P2|SLC23A2_+_4982118.23-P1P2++SLC23A2_+_4982121.23-P1P2|SLC23A2_+_4982118.23-P1P2	SLC23A2	1252	874	726	1052	3258	920	712	1010	660
TIA1_+_70475684.23-P1P2|TIA1_-_70475758.23-P1P2++TIA1_+_70475684.23-P1P2|TIA1_-_70475758.23-P1P2	TIA1	438	350	376	338	1642	260	420	396	304
TIGD6_-_149380091.23-P1P2|TIGD6_+_149380026.23-P1P2++TIGD6_-_149380091.23-P1P2|TIGD6_+_149380026.23-P1P2	TIGD6	966	678	396	972	1574	580	562	470	464
MCM10_-_13203599.23-P1P2|MCM10_-_13203591.23-P1P2++MCM10_-_13203599.23-P1P2|MCM10_-_13203591.23-P1P2	MCM10	10	8	94	16	284	6	6	134	12
TUBA1C_+_49658873.23-P1P2|TUBA1C_+_49659305.23-P1P2++TUBA1C_+_49658873.23-P1P2|TUBA1C_+_49659305.23-P1P2	TUBA1C	494	384	208	480	1048	328	344	390	382
ZNF267_+_31885149.23-P1|ZNF267_+_31885213.23-P1++ZNF267_+_31885149.23-P1|ZNF267_+_31885213.23-P1	ZNF267	1876	1256	682	1970	2670	1084	1378	830	1006
TMEM174_-_72469073.23-P1P2|TMEM174_+_72469087.23-P1P2++TMEM174_-_72469073.23-P1P2|TMEM174_+_72469087.23-P1P2	TMEM174	692	590	266	756	858	528	530	376	546
AVL9_+_32535098.23-P1P2|AVL9_+_32535095.23-P1P2++AVL9_+_32535098.23-P1P2|AVL9_+_32535095.23-P1P2	AVL9	1414	1296	530	1374	2312	1016	1030	692	838
OR2C3_-_247697154.23-ENST00000366487.3|OR2C3_-_247696922.23-ENST00000366487.3++OR2C3_-_247697154.23-ENST00000366487.3|OR2C3_-_247696922.23-ENST00000366487.3	OR2C3	622	470	186	386	858	512	456	342	402
BHLHE22_-_65492946.23-P1P2|BHLHE22_+_65492932.23-P1P2++BHLHE22_-_65492946.23-P1P2|BHLHE22_+_65492932.23-P1P2	BHLHE22	1286	1224	414	1012	2068	832	902	578	952
non-targeting_00013|non-targeting_01297++non-targeting_00013|non-targeting_01297	non-targeting	1614	1186	574	1656	2174	1088	1308	992	948
NBN_-_90996837.23-P1P2|NBN_-_90996806.23-P1P2++NBN_-_90996837.23-P1P2|NBN_-_90996806.23-P1P2	NBN	64	64	582	96	2600	66	92	882	76
SLIT2_+_20254492.23-P1P2|SLIT2_+_20254544.23-P1P2++SLIT2_+_20254492.23-P1P2|SLIT2_+_20254544.23-P1P2	SLIT2	1474	1238	658	1742	2506	1182	1410	778	1012
SPINT3_-_44144200.23-P1P2|SPINT3_-_44144266.23-P1P2++SPINT3_-_44144200.23-P1P2|SPINT3_-_44144266.23-P1P2	SPINT3	624	614	358	656	1102	632	616	336	528
non-targeting_01164|non-targeting_02895++non-targeting_01164|non-targeting_02895	non-targeting	1114	1042	452	1274	1842	850	916	712	738
SYP_-_49056593.23-P1P2|SYP_+_49056617.23-P1P2++SYP_-_49056593.23-P1P2|SYP_+_49056617.23-P1P2	SYP	1972	1534	722	2204	3006	1024	1404	1006	1076
LPCAT4_-_34659316.23-P1P2|LPCAT4_+_34659148.23-P1P2++LPCAT4_-_34659316.23-P1P2|LPCAT4_+_34659148.23-P1P2	LPCAT4	1146	1050	468	1154	1850	782	800	624	648
CASP8_-_202125301.23-P1|CASP8_-_202125341.23-P1++CASP8_-_202125301.23-P1|CASP8_-_202125341.23-P1	CASP8	1168	990	384	974	1510	712	776	552	560
ITGB7_+_53600972.23-P1P2|ITGB7_+_53601026.23-P1P2++ITGB7_+_53600972.23-P1P2|ITGB7_+_53601026.23-P1P2	ITGB7	698	754	288	638	1056	554	564	430	446
PLIN4_+_4513471.23-P1P2|PLIN4_+_4513446.23-P1P2++PLIN4_+_4513471.23-P1P2|PLIN4_+_4513446.23-P1P2	PLIN4	1662	1106	518	1356	2242	964	1136	818	936
ANK2_-_113970949.23-ENST00000264366.6|ANK2_-_113970921.23-ENST00000264366.6++ANK2_-_113970949.23-ENST00000264366.6|ANK2_-_113970921.23-ENST00000264366.6	ANK2	786	468	204	550	926	300	504	302	442
GPR174_+_78426279.23-P1P2|GPR174_-_78426611.23-P1P2++GPR174_+_78426279.23-P1P2|GPR174_-_78426611.23-P1P2	GPR174	408	430	178	326	714	336	474	236	372
PDCL_-_125590835.23-P1P2|PDCL_-_125590807.23-P1P2++PDCL_-_125590835.23-P1P2|PDCL_-_125590807.23-P1P2	PDCL	690	494	274	460	1076	358	312	378	330
FUT7_-_139926495.23-P1P2|FUT7_-_139926508.23-P1P2++FUT7_-_139926495.23-P1P2|FUT7_-_139926508.23-P1P2	FUT7	1402	868	504	1262	1966	832	970	566	836
TXNL1_+_54305637.23-P1P2|TXNL1_+_54305794.23-P1P2++TXNL1_+_54305637.23-P1P2|TXNL1_+_54305794.23-P1P2	TXNL1	1820	1154	700	1560	3250	1054	1130	1116	954
non-targeting_01914|non-targeting_03386++non-targeting_01914|non-targeting_03386	non-targeting	1244	1062	440	1120	1976	1018	758	896	744
ISPD_-_16461140.23-P1P2|ISPD_+_16461156.23-P1P2++ISPD_-_16461140.23-P1P2|ISPD_+_16461156.23-P1P2	ISPD	1322	956	530	1282	1824	882	924	752	728
LRRC41_+_46768924.23-P1P2|LRRC41_+_46768906.23-P1P2++LRRC41_+_46768924.23-P1P2|LRRC41_+_46768906.23-P1P2	LRRC41	2498	1760	728	2296	3288	1480	1640	1046	1478
LRRC66_+_52884079.23-P1P2|LRRC66_+_52884106.23-P1P2++LRRC66_+_52884079.23-P1P2|LRRC66_+_52884106.23-P1P2	LRRC66	598	366	172	396	616	270	318	304	316
C17orf49_+_6918114.23-P2|C17orf49_+_6918154.23-P2++C17orf49_+_6918114.23-P2|C17orf49_+_6918154.23-P2	C17orf49	1030	886	1038	1142	3902	900	822	1134	724
PRSS2_+_142478813.23-P1P2|PRSS2_+_142478912.23-P1P2++PRSS2_+_142478813.23-P1P2|PRSS2_+_142478912.23-P1P2	PRSS2	1670	1874	818	1754	2758	1460	1652	1036	1202
SCT_+_626967.23-P1P2|SCT_+_627190.23-P1P2++SCT_+_626967.23-P1P2|SCT_+_627190.23-P1P2	SCT	1692	1272	590	1720	3008	1208	1242	832	906
PPP1R13B_+_104313901.23-P1P2|PPP1R13B_-_104313915.23-P1P2++PPP1R13B_+_104313901.23-P1P2|PPP1R13B_-_104313915.23-P1P2	PPP1R13B	4382	3830	1504	4104	6652	2512	2980	2222	2386
FXYD7_-_35634240.23-P1P2|FXYD7_+_35634429.23-P1P2++FXYD7_-_35634240.23-P1P2|FXYD7_+_35634429.23-P1P2	FXYD7	716	664	570	850	1876	412	518	636	374
ATOH7_-_69991496.23-P1P2|ATOH7_+_69991516.23-P1P2++ATOH7_-_69991496.23-P1P2|ATOH7_+_69991516.23-P1P2	ATOH7	1128	734	370	1010	1640	720	666	562	612
RHEBL1_-_49463689.23-P1P2|RHEBL1_-_49463701.23-P1P2++RHEBL1_-_49463689.23-P1P2|RHEBL1_-_49463701.23-P1P2	RHEBL1	518	514	224	496	978	368	324	388	268
TRIM67_+_231298704.23-P1P2|TRIM67_-_231298040.23-P1P2++TRIM67_+_231298704.23-P1P2|TRIM67_-_231298040.23-P1P2	TRIM67	528	496	210	498	1014	478	464	358	358
OAZ3_+_151739231.23-P1|OAZ3_+_151739268.23-P1++OAZ3_+_151739231.23-P1|OAZ3_+_151739268.23-P1	OAZ3	644	670	340	696	1272	472	660	376	462
ABL2_+_179198340.23-P2|ABL2_+_179198740.23-P2++ABL2_+_179198340.23-P2|ABL2_+_179198740.23-P2	ABL2	3096	2162	1172	3180	4650	1976	1984	1490	2002
MPHOSPH8_-_20207831.23-P1|MPHOSPH8_-_20208196.23-P1++MPHOSPH8_-_20207831.23-P1|MPHOSPH8_-_20208196.23-P1	MPHOSPH8	1634	1260	548	1192	2518	818	1190	774	808
IFNW1_-_21142113.23-ENST00000380229.2|IFNW1_-_21142096.23-ENST00000380229.2++IFNW1_-_21142113.23-ENST00000380229.2|IFNW1_-_21142096.23-ENST00000380229.2	IFNW1	656	572	334	508	1226	334	490	390	516
TBX20_-_35293701.23-P1P2|TBX20_-_35293480.23-P1P2++TBX20_-_35293701.23-P1P2|TBX20_-_35293480.23-P1P2	TBX20	1458	1250	634	1656	1966	1104	1218	898	804
SPAG8_-_35812136.23-P1P2|SPAG8_+_35812118.23-P1P2++SPAG8_-_35812136.23-P1P2|SPAG8_+_35812118.23-P1P2	SPAG8	1064	1076	426	1084	1728	836	880	500	838
CCDC53_+_102455736.23-P1P2|CCDC53_-_102455600.23-P1P2++CCDC53_+_102455736.23-P1P2|CCDC53_-_102455600.23-P1P2	CCDC53	1426	1394	718	1438	2920	738	1160	956	886
FAM96A_+_64386023.23-P1P2|FAM96A_+_64385979.23-P1P2++FAM96A_+_64386023.23-P1P2|FAM96A_+_64385979.23-P1P2	FAM96A	962	654	336	826	1510	578	758	424	418
BCAP29_+_107220739.23-P1P2|BCAP29_+_107220707.23-P1P2++BCAP29_+_107220739.23-P1P2|BCAP29_+_107220707.23-P1P2	BCAP29	760	370	282	764	888	418	574	374	446
HRH1_+_11196214.23-P1|HRH1_-_11196255.23-P1++HRH1_+_11196214.23-P1|HRH1_-_11196255.23-P1	HRH1	1324	1124	478	1074	2132	880	844	656	702
PDS5A_+_39979419.23-P1P2|PDS5A_-_39979449.23-P1P2++PDS5A_+_39979419.23-P1P2|PDS5A_-_39979449.23-P1P2	PDS5A	424	456	178	476	742	386	440	288	252
ZIM2_+_57352081.23-P1P2|ZIM2_+_57352032.23-P1P2++ZIM2_+_57352081.23-P1P2|ZIM2_+_57352032.23-P1P2	ZIM2	1110	818	378	976	1640	640	612	500	704
TPRA1_+_127309498.23-P1P2|TPRA1_+_127309313.23-P1P2++TPRA1_+_127309498.23-P1P2|TPRA1_+_127309313.23-P1P2	TPRA1	928	868	394	1340	1680	828	1022	638	796
GNAT2_-_110155627.23-P1P2|GNAT2_+_110155682.23-P1P2++GNAT2_-_110155627.23-P1P2|GNAT2_+_110155682.23-P1P2	GNAT2	1336	1156	424	964	2048	672	976	584	758
PANK1_+_91403677.23-P2|PANK1_+_91403603.23-P2++PANK1_+_91403677.23-P2|PANK1_+_91403603.23-P2	PANK1	746	668	268	478	1292	482	504	478	400
SPATC1L_-_47588484.23-P2|SPATC1L_+_47588451.23-P2++SPATC1L_-_47588484.23-P2|SPATC1L_+_47588451.23-P2	SPATC1L	574	276	150	300	708	348	358	214	240
NSF_+_44668460.23-ENST00000398238.4|NSF_-_44668038.23-ENST00000398238.4++NSF_+_44668460.23-ENST00000398238.4|NSF_-_44668038.23-ENST00000398238.4	NSF	1660	1328	656	1486	2486	1196	1310	964	1040
CRTC1_-_18794535.23-P1P2|CRTC1_+_18794530.23-P1P2++CRTC1_-_18794535.23-P1P2|CRTC1_+_18794530.23-P1P2	CRTC1	1948	1546	536	1628	2854	1256	1334	850	1208
NUDT21_+_56485197.23-P1P2|NUDT21_-_56485228.23-P1P2++NUDT21_+_56485197.23-P1P2|NUDT21_-_56485228.23-P1P2	NUDT21	12	0	62	22	206	36	8	146	12
HJURP_+_234763174.23-P1P2|HJURP_+_234762977.23-P1P2++HJURP_+_234763174.23-P1P2|HJURP_+_234762977.23-P1P2	HJURP	28	32	546	30	2308	36	46	868	42
C11orf42_+_6226828.23-P1P2|C11orf42_+_6226767.23-P1P2++C11orf42_+_6226828.23-P1P2|C11orf42_+_6226767.23-P1P2	C11orf42	40	22	320	24	1062	32	82	450	42
C2orf81_+_74648741.23-P2|C2orf81_-_74648770.23-P2++C2orf81_+_74648741.23-P2|C2orf81_-_74648770.23-P2	C2orf81	524	464	142	582	976	522	496	228	466
C1QC_-_22970626.23-P1P2|C1QC_+_22970540.23-P1P2++C1QC_-_22970626.23-P1P2|C1QC_+_22970540.23-P1P2	C1QC	58	42	178	32	752	10	10	340	42
RGS7_+_241520454.23-P1P2|RGS7_+_241520424.23-P1P2++RGS7_+_241520454.23-P1P2|RGS7_+_241520424.23-P1P2	RGS7	1310	936	506	1268	1872	640	1026	772	774
C16orf92_+_30034786.23-P1P2|C16orf92_+_30034845.23-P1P2++C16orf92_+_30034786.23-P1P2|C16orf92_+_30034845.23-P1P2	C16orf92	1526	1298	652	1500	2620	1108	932	886	804
TIGIT_+_114012922.23-P1P2|TIGIT_-_114012862.23-P1P2++TIGIT_+_114012922.23-P1P2|TIGIT_-_114012862.23-P1P2	TIGIT	1286	1144	422	1136	1514	656	954	666	684
DNAJC12_-_69597810.23-P1P2|DNAJC12_+_69597901.23-P1P2++DNAJC12_-_69597810.23-P1P2|DNAJC12_+_69597901.23-P1P2	DNAJC12	512	644	216	594	1046	364	550	298	384
GPR101_+_136113327.23-P1P2|GPR101_-_136113337.23-P1P2++GPR101_+_136113327.23-P1P2|GPR101_-_136113337.23-P1P2	GPR101	1316	972	454	1232	1788	678	786	652	726
