	target	TO_8_S8	TO_4_S4	TO_3_S3	TO_7_S7	TO_2_S2	TO_6_S6	TO_5_S5	TO_1_S1	TO_9_S9
GPR6_-_110299538.23-P1P2|GPR6_+_110299807.23-P1P2++GPR6_-_110299538.23-P1P2|GPR6_+_110299807.23-P1P2	GPR6	1746	1514	736	1574	2526	1022	1120	856	846
B3GNT3_+_17906029.23-P1P2|B3GNT3_-_17906014.23-P1P2++B3GNT3_+_17906029.23-P1P2|B3GNT3_-_17906014.23-P1P2	B3GNT3	2014	1826	748	1892	2924	1258	1570	840	1130
RBM42_-_36120011.23-P1P2|RBM42_-_36120005.23-P1P2++RBM42_-_36120011.23-P1P2|RBM42_-_36120005.23-P1P2	RBM42	164	190	248	256	866	132	104	278	160
GTF2H1_-_18344160.23-P1P2|GTF2H1_+_18344179.23-P1P2++GTF2H1_-_18344160.23-P1P2|GTF2H1_+_18344179.23-P1P2	GTF2H1	34	28	334	48	1754	26	28	614	38
EFNA4_+_155036369.23-P1P2|EFNA4_+_155036199.23-P1P2++EFNA4_+_155036369.23-P1P2|EFNA4_+_155036199.23-P1P2	EFNA4	1426	1182	480	1322	1830	848	1050	720	1060
CYP26C1_+_94822719.23-P1P2|CYP26C1_+_94822612.23-P1P2++CYP26C1_+_94822719.23-P1P2|CYP26C1_+_94822612.23-P1P2	CYP26C1	1294	720	428	898	1564	576	794	502	532
DOLK_+_131709816.23-P1P2|DOLK_-_131709668.23-P1P2++DOLK_+_131709816.23-P1P2|DOLK_-_131709668.23-P1P2	DOLK	764	608	322	586	1918	450	462	526	424
OBSL1_-_220435922.23-P1P2|OBSL1_+_220436106.23-P1P2++OBSL1_-_220435922.23-P1P2|OBSL1_+_220436106.23-P1P2	OBSL1	2792	2020	846	2630	3844	1634	1668	1188	1458
CDC26_+_116037656.23-P1P2|CDC26_+_116037488.23-P1P2++CDC26_+_116037656.23-P1P2|CDC26_+_116037488.23-P1P2	CDC26	18	42	622	30	2438	30	18	778	20
GDAP1L1_+_42875998.23-P1P2|GDAP1L1_+_42875981.23-P1P2++GDAP1L1_+_42875998.23-P1P2|GDAP1L1_+_42875981.23-P1P2	GDAP1L1	990	814	452	1034	1424	610	894	602	604
OR2M2_+_248343349.23-ENST00000359682.2|OR2M2_+_248343353.23-ENST00000359682.2++OR2M2_+_248343349.23-ENST00000359682.2|OR2M2_+_248343353.23-ENST00000359682.2	OR2M2	1488	1212	488	1136	2040	902	1006	780	764
OR2Y1_+_180167097.23-ENST00000307832.2|OR2Y1_+_180167053.23-ENST00000307832.2++OR2Y1_+_180167097.23-ENST00000307832.2|OR2Y1_+_180167053.23-ENST00000307832.2	OR2Y1	672	348	212	454	870	456	502	280	370
AMZ1_-_2728358.23-P1P2|AMZ1_+_2727832.23-P1P2++AMZ1_-_2728358.23-P1P2|AMZ1_+_2727832.23-P1P2	AMZ1	78	82	446	94	2002	124	112	598	46
ROBO3_-_124746765.23-P1P2|ROBO3_-_124746745.23-P1P2++ROBO3_-_124746765.23-P1P2|ROBO3_-_124746745.23-P1P2	ROBO3	1838	1412	560	1730	2666	1134	1284	882	900
STARD8_+_67867582.23-ENST00000374599.3|STARD8_+_67867554.23-ENST00000374599.3++STARD8_+_67867582.23-ENST00000374599.3|STARD8_+_67867554.23-ENST00000374599.3	STARD8	2400	1882	816	1932	3448	1554	1764	1152	1490
STYXL1_+_75677069.23-P1P2|STYXL1_+_75677277.23-P1P2++STYXL1_+_75677069.23-P1P2|STYXL1_+_75677277.23-P1P2	STYXL1	2324	2068	644	2408	2766	1726	1838	876	1392
SPARCL1_+_88450473.23-P1P2|SPARCL1_-_88450510.23-P1P2++SPARCL1_+_88450473.23-P1P2|SPARCL1_-_88450510.23-P1P2	SPARCL1	672	556	232	824	1370	620	630	334	526
STX8_+_9479142.23-P1P2|STX8_-_9479112.23-P1P2++STX8_+_9479142.23-P1P2|STX8_-_9479112.23-P1P2	STX8	2320	1836	908	2388	3460	1600	1684	1196	1284
GLIS2_+_4384907.23-P1P2|GLIS2_+_4384912.23-P1P2++GLIS2_+_4384907.23-P1P2|GLIS2_+_4384912.23-P1P2	GLIS2	712	598	272	748	1032	442	604	468	480
PANK1_+_91404945.23-P1|PANK1_+_91404725.23-P1++PANK1_+_91404945.23-P1|PANK1_+_91404725.23-P1	PANK1	198	90	496	72	2204	124	140	692	66
GDAP1_-_75262699.23-P1P2|GDAP1_-_75262665.23-P1P2++GDAP1_-_75262699.23-P1P2|GDAP1_-_75262665.23-P1P2	GDAP1	334	356	118	240	408	222	340	188	194
OAF_+_120081621.23-P1P2|OAF_+_120081777.23-P1P2++OAF_+_120081621.23-P1P2|OAF_+_120081777.23-P1P2	OAF	974	660	386	994	1580	678	810	614	540
ARID5B_-_63660959.23-ENST00000279873.7|ARID5B_+_63661162.23-ENST00000279873.7++ARID5B_-_63660959.23-ENST00000279873.7|ARID5B_+_63661162.23-ENST00000279873.7	ARID5B	582	534	596	716	2430	518	590	686	434
BRCA1_-_41277370.23-P1P2|BRCA1_-_41277311.23-P1P2++BRCA1_-_41277370.23-P1P2|BRCA1_-_41277311.23-P1P2	BRCA1	38	24	318	38	1254	66	20	442	32
PITX1_-_134369888.23-P1P2|PITX1_-_134369898.23-P1P2++PITX1_-_134369888.23-P1P2|PITX1_-_134369898.23-P1P2	PITX1	1816	1470	584	1672	2194	1206	1218	734	972
MST4_+_131157354.23-P1P2|MST4_-_131157387.23-P1P2++MST4_+_131157354.23-P1P2|MST4_-_131157387.23-P1P2	MST4	788	596	328	674	1476	512	510	404	340
ZNF688_-_30582974.23-P1P2|ZNF688_-_30583043.23-P1P2++ZNF688_-_30582974.23-P1P2|ZNF688_-_30583043.23-P1P2	ZNF688	1416	1272	518	1464	2118	944	1176	774	906
LIF_+_30642668.23-P1P2|LIF_-_30642710.23-P1P2++LIF_+_30642668.23-P1P2|LIF_-_30642710.23-P1P2	LIF	1718	1122	638	1392	2310	1106	1010	712	914
SLC35E3_-_69139977.23-P1P2|SLC35E3_+_69139993.23-P1P2++SLC35E3_-_69139977.23-P1P2|SLC35E3_+_69139993.23-P1P2	SLC35E3	368	454	186	404	920	372	400	308	256
ADAT3_-_1905438.23-P1|ADAT3_+_1905424.23-P1++ADAT3_-_1905438.23-P1|ADAT3_+_1905424.23-P1	ADAT3	76	108	126	64	458	102	104	196	18
FAM115A_-_143599178.23-P1|FAM115A_-_143599196.23-P1++FAM115A_-_143599178.23-P1|FAM115A_-_143599196.23-P1	FAM115A	1730	1388	666	1584	2346	1036	1066	812	938
MCC_+_112630579.23-P1P2|MCC_+_112630602.23-P1P2++MCC_+_112630579.23-P1P2|MCC_+_112630602.23-P1P2	MCC	708	466	330	494	1262	444	568	376	374
ZNF470_-_57078933.23-P1P2|ZNF470_-_57079050.23-P1P2++ZNF470_-_57078933.23-P1P2|ZNF470_-_57079050.23-P1P2	ZNF470	2106	1688	824	2108	3636	1296	1766	1370	1446
SND1_-_127292237.23-P1P2|SND1_-_127292228.23-P1P2++SND1_-_127292237.23-P1P2|SND1_-_127292228.23-P1P2	SND1	1110	1446	638	1352	2596	1004	1092	770	932
HSD3B1_-_120049929.23-P1P2|HSD3B1_+_120050066.23-P1P2++HSD3B1_-_120049929.23-P1P2|HSD3B1_+_120050066.23-P1P2	HSD3B1	582	406	388	664	1392	382	486	468	328
CPXM1_-_2781219.23-P1P2|CPXM1_+_2781209.23-P1P2++CPXM1_-_2781219.23-P1P2|CPXM1_+_2781209.23-P1P2	CPXM1	1020	886	374	1180	2046	750	912	596	744
ATAD3A_-_1448112.23-P1P2|ATAD3A_+_1448130.23-P1P2++ATAD3A_-_1448112.23-P1P2|ATAD3A_+_1448130.23-P1P2	ATAD3A	50	72	236	54	740	76	88	260	66
HYAL2_+_50358851.23-P1|HYAL2_+_50358857.23-P1++HYAL2_+_50358851.23-P1|HYAL2_+_50358857.23-P1	HYAL2	3204	2514	1136	2968	5170	1832	2364	1808	2022
CKMT2_-_80529200.23-P1P2|CKMT2_-_80529188.23-P1P2++CKMT2_-_80529200.23-P1P2|CKMT2_-_80529188.23-P1P2	CKMT2	1106	726	398	1118	1672	740	790	606	730
AARSD1_-_41116425.23-P1|AARSD1_+_41116412.23-P1++AARSD1_-_41116425.23-P1|AARSD1_+_41116412.23-P1	AARSD1	974	778	430	1010	1590	760	744	564	448
LOC441155_+_66011589.23-NM_001271675|LOC441155_+_66011423.23-NM_001271675++LOC441155_+_66011589.23-NM_001271675|LOC441155_+_66011423.23-NM_001271675	LOC441155	776	654	260	738	1032	440	490	448	494
DOK4_-_57513619.23-P2|DOK4_+_57513429.23-P2++DOK4_-_57513619.23-P2|DOK4_+_57513429.23-P2	DOK4	946	830	278	870	1376	494	618	518	542
BAI1_-_143531007.23-P1P2|BAI1_+_143531422.23-P1P2++BAI1_-_143531007.23-P1P2|BAI1_+_143531422.23-P1P2	BAI1	878	692	310	694	1304	530	768	322	516
TSHB_-_115572485.23-P1P2|TSHB_-_115572481.23-P1P2++TSHB_-_115572485.23-P1P2|TSHB_-_115572481.23-P1P2	TSHB	1104	744	282	802	1474	584	894	558	522
OR4K17_-_20585652.23-ENST00000315543.4|OR4K17_-_20585648.23-ENST00000315543.4++OR4K17_-_20585652.23-ENST00000315543.4|OR4K17_-_20585648.23-ENST00000315543.4	OR4K17	1374	912	428	1362	2234	850	930	674	776
PACSIN1_+_34433900.23-P1|PACSIN1_-_34433926.23-P1++PACSIN1_+_34433900.23-P1|PACSIN1_-_34433926.23-P1	PACSIN1	76	52	26	64	122	50	94	36	56
TFPT_+_54619005.23-P1P2|TFPT_+_54618985.23-P1P2++TFPT_+_54619005.23-P1P2|TFPT_+_54618985.23-P1P2	TFPT	54	100	496	82	2316	94	72	650	60
non-targeting_00497|non-targeting_01578++non-targeting_00497|non-targeting_01578	non-targeting	1410	1292	428	1360	1838	1152	1078	658	902
BIRC2_-_102217972.23-P1P2|BIRC2_+_102218035.23-P1P2++BIRC2_-_102217972.23-P1P2|BIRC2_+_102218035.23-P1P2	BIRC2	1930	1916	796	1794	3646	1604	1562	1256	1258
TMEM154_-_153601065.23-P1P2|TMEM154_-_153601053.23-P1P2++TMEM154_-_153601065.23-P1P2|TMEM154_-_153601053.23-P1P2	TMEM154	1332	978	364	1188	1534	696	810	532	530
MAPRE2_-_32621418.23-P1|MAPRE2_-_32621435.23-P1++MAPRE2_-_32621418.23-P1|MAPRE2_-_32621435.23-P1	MAPRE2	908	698	280	854	1626	660	724	442	558
IFNA7_-_21202201.23-ENST00000239347.3|IFNA7_+_21202191.23-ENST00000239347.3++IFNA7_-_21202201.23-ENST00000239347.3|IFNA7_+_21202191.23-ENST00000239347.3	IFNA7	820	472	280	734	1210	448	596	366	706
NAP1L1_-_76478585.23-P1P2|NAP1L1_+_76478691.23-P1P2++NAP1L1_-_76478585.23-P1P2|NAP1L1_+_76478691.23-P1P2	NAP1L1	1922	1522	658	1564	2758	1338	1438	986	1078
STAB1_+_52529438.23-P1P2|STAB1_+_52529356.23-P1P2++STAB1_+_52529438.23-P1P2|STAB1_+_52529356.23-P1P2	STAB1	556	470	410	594	1750	438	322	716	262
ESCO2_+_27632128.23-P1P2|ESCO2_-_27632134.23-P1P2++ESCO2_+_27632128.23-P1P2|ESCO2_-_27632134.23-P1P2	ESCO2	58	30	88	24	400	22	54	142	30
OSBP2_-_31090700.23-ENST00000332585.6,ENST00000446658.2|OSBP2_+_31090855.23-ENST00000332585.6,ENST00000446658.2++OSBP2_-_31090700.23-ENST00000332585.6,ENST00000446658.2|OSBP2_+_31090855.23-ENST00000332585.6,ENST00000446658.2	OSBP2	2164	1476	810	1842	3388	1306	1380	1174	1322
TCEAL4_-_102841649.23-P2|TCEAL4_-_102841657.23-P2++TCEAL4_-_102841649.23-P2|TCEAL4_-_102841657.23-P2	TCEAL4	740	626	284	640	1140	436	646	362	520
AGBL1_+_86686989.23-ENST00000421325.2|AGBL1_+_86687018.23-ENST00000421325.2++AGBL1_+_86686989.23-ENST00000421325.2|AGBL1_+_86687018.23-ENST00000421325.2	AGBL1	1582	1070	480	896	2076	654	1028	566	810
REEP1_+_86564763.23-P1P2|REEP1_+_86564736.23-P1P2++REEP1_+_86564763.23-P1P2|REEP1_+_86564736.23-P1P2	REEP1	4120	3080	1296	3492	5646	2566	2566	1670	2242
PPP2R5B_+_64692233.23-P1|PPP2R5B_+_64692191.23-P1++PPP2R5B_+_64692233.23-P1|PPP2R5B_+_64692191.23-P1	PPP2R5B	380	518	322	554	1784	342	554	432	422
SP100_-_231280972.23-P1P2|SP100_-_231280964.23-P1P2++SP100_-_231280972.23-P1P2|SP100_-_231280964.23-P1P2	SP100	1498	1176	692	1446	2684	1076	1366	874	1000
RAB3IP_-_70132706.23-P1P2|RAB3IP_+_70132691.23-P1P2++RAB3IP_-_70132706.23-P1P2|RAB3IP_+_70132691.23-P1P2	RAB3IP	1436	958	574	1364	1700	674	916	620	750
GPR27_-_71803023.23-P1P2|GPR27_-_71803020.23-P1P2++GPR27_-_71803023.23-P1P2|GPR27_-_71803020.23-P1P2	GPR27	1410	1066	528	1490	2258	764	1118	836	996
COPZ1_-_54719176.23-P1|COPZ1_+_54719129.23-P1++COPZ1_-_54719176.23-P1|COPZ1_+_54719129.23-P1	COPZ1	14	8	48	20	152	18	18	74	4
SEMA3F_-_50192580.23-P1P2|SEMA3F_+_50192585.23-P1P2++SEMA3F_-_50192580.23-P1P2|SEMA3F_+_50192585.23-P1P2	SEMA3F	1708	1234	528	1700	2236	1288	1480	806	856
MELK_+_36572955.23-P1P2|MELK_+_36572996.23-P1P2++MELK_+_36572955.23-P1P2|MELK_+_36572996.23-P1P2	MELK	2410	1982	938	2512	3826	1642	1662	1358	1546
SEMA3G_-_52479058.23-P1P2|SEMA3G_+_52479086.23-P1P2++SEMA3G_-_52479058.23-P1P2|SEMA3G_+_52479086.23-P1P2	SEMA3G	1358	1054	556	1216	2266	1182	1312	792	930
ZNF878_-_12163709.23-P1P2|ZNF878_+_12163747.23-P1P2++ZNF878_-_12163709.23-P1P2|ZNF878_+_12163747.23-P1P2	ZNF878	1270	884	410	1226	1822	604	634	644	680
DSCAM_-_42219100.23-P1P2|DSCAM_-_42218833.23-P1P2++DSCAM_-_42219100.23-P1P2|DSCAM_-_42218833.23-P1P2	DSCAM	8494	6558	2888	7970	11642	5054	5526	3714	4992
FKBP3_-_45603455.23-P1P2|FKBP3_-_45603648.23-P1P2++FKBP3_-_45603455.23-P1P2|FKBP3_-_45603648.23-P1P2	FKBP3	1972	1788	810	1848	3354	1464	1510	1020	1192
YPEL5_-_30369859.23-P1P2|YPEL5_-_30369815.23-P1P2++YPEL5_-_30369859.23-P1P2|YPEL5_-_30369815.23-P1P2	YPEL5	542	446	506	550	2082	418	304	674	316
