	target	i02	i08	i14	i15	i06	i16	i11	i12	i07	i04	i05	i03	i13	i01	i10	i09
non-targeting_00718|non-targeting_01902++non-targeting_00718|non-targeting_01902	non-targeting	898	1175	886	993	1184	1223	1253	1201	1473	1436	1730	1459	2867	640	706	1011
ZDHHC13_+_19138761.23-P1P2|ZDHHC13_-_19138728.23-P1P2++ZDHHC13_+_19138761.23-P1P2|ZDHHC13_-_19138728.23-P1P2	ZDHHC13	1375	2289	1868	1913	2395	1981	2416	2655	2349	3044	2832	3040	5506	1358	1311	1499
ARNTL2_+_27485837.23-P1P2|ARNTL2_+_27485847.23-P1P2++ARNTL2_+_27485837.23-P1P2|ARNTL2_+_27485847.23-P1P2	ARNTL2	4803	7295	5496	5238	5922	5023	6448	7550	7124	7345	8680	8729	15182	4109	4202	4433
DGKD_-_234263173.23-P1P2|DGKD_+_234263221.23-P1P2++DGKD_-_234263173.23-P1P2|DGKD_+_234263221.23-P1P2	DGKD	1393	1651	1695	1765	2024	1612	2078	2499	2169	2145	2479	3519	5820	1275	1286	1287
STK11_-_1206870.23-P2|STK11_-_1206878.23-P2++STK11_-_1206870.23-P2|STK11_-_1206878.23-P2	STK11	991	1248	945	1118	1760	1200	1737	2095	1397	1816	1981	1894	3963	1039	868	1137
POLE2_+_50154826.23-P1P2|POLE2_+_50154818.23-P1P2++POLE2_+_50154826.23-P1P2|POLE2_+_50154818.23-P1P2	POLE2	507	0	91	64	34	80	22	28	23	72	16	75	7	247	306	464
ZP4_+_238053942.23-P1P2|ZP4_+_238053976.23-P1P2++ZP4_+_238053942.23-P1P2|ZP4_+_238053976.23-P1P2	ZP4	1507	2238	1856	1835	2335	1622	2073	2249	2278	2472	2352	2511	4165	1200	1368	1331
SUMO3_-_46237726.23-P1P2|SUMO3_-_46237741.23-P1P2++SUMO3_-_46237726.23-P1P2|SUMO3_-_46237741.23-P1P2	SUMO3	1143	934	471	683	1079	434	1083	1038	955	1518	1224	1140	3055	778	575	847
GABPB2_+_151043248.23-P1P2|GABPB2_+_151043259.23-P1P2++GABPB2_+_151043248.23-P1P2|GABPB2_+_151043259.23-P1P2	GABPB2	585	620	549	917	993	625	1120	1002	813	969	1356	1121	1946	568	635	742
UBXN2B_-_59323947.23-P1P2|UBXN2B_+_59323961.23-P1P2++UBXN2B_-_59323947.23-P1P2|UBXN2B_+_59323961.23-P1P2	UBXN2B	2239	2496	2148	2336	3245	2412	2358	2557	2757	2602	2801	3684	6597	1599	1938	1661
SNRPD1_+_19192365.23-P1P2|SNRPD1_+_19192288.23-P1P2++SNRPD1_+_19192365.23-P1P2|SNRPD1_+_19192288.23-P1P2	SNRPD1	119	1	1	5	0	12	0	0	0	4	0	3	1	162	257	303
OR4D2_-_56247040.23-ENST00000545221.1|OR4D2_+_56247057.23-ENST00000545221.1++OR4D2_-_56247040.23-ENST00000545221.1|OR4D2_+_56247057.23-ENST00000545221.1	OR4D2	950	1516	947	1030	1497	1331	2072	1554	1396	1814	2017	2022	3697	924	1211	809
S100A10_-_151966277.23-P1|S100A10_+_151966307.23-P1++S100A10_-_151966277.23-P1|S100A10_+_151966307.23-P1	S100A10	1518	1851	1483	1375	1810	1668	1963	1348	2224	1693	1972	2118	4127	1377	817	873
DMRTC2_+_42349304.23-P1P2|DMRTC2_-_42349522.23-P1P2++DMRTC2_+_42349304.23-P1P2|DMRTC2_-_42349522.23-P1P2	DMRTC2	1059	793	921	1392	894	1508	1373	1382	826	920	1177	953	2213	829	713	828
KPNA3_-_50366677.23-P1P2|KPNA3_-_50366710.23-P1P2++KPNA3_-_50366677.23-P1P2|KPNA3_-_50366710.23-P1P2	KPNA3	1649	1492	1841	1796	2358	2063	2341	2360	2128	2406	2487	2555	5078	1127	1516	1372
BRIP1_-_59940486.23-P1P2|BRIP1_+_59940833.23-P1P2++BRIP1_-_59940486.23-P1P2|BRIP1_+_59940833.23-P1P2	BRIP1	1216	1894	1591	1455	2198	1950	1772	1126	2724	2569	2748	2352	3000	1488	1222	1094
LAS1L_+_64754550.23-P1P2|LAS1L_+_64754657.23-P1P2++LAS1L_+_64754550.23-P1P2|LAS1L_+_64754657.23-P1P2	LAS1L	659	24	507	567	27	550	100	33	21	9	1	5	187	509	1172	1136
TMPO_+_98909862.23-P1P2|TMPO_+_98909828.23-P1P2++TMPO_+_98909862.23-P1P2|TMPO_+_98909828.23-P1P2	TMPO	2311	816	1729	1895	1719	1923	1494	1523	1513	1159	1444	1251	3389	1968	1831	1717
SPRR2F_-_153085978.23-P1P2|SPRR2F_+_153085737.23-P1P2++SPRR2F_-_153085978.23-P1P2|SPRR2F_+_153085737.23-P1P2	SPRR2F	590	773	620	689	1390	1197	1298	1035	1341	1044	1763	1658	3645	769	732	510
H3F3B_+_73775842.23-P1P2|H3F3B_+_73775827.23-P1P2++H3F3B_+_73775842.23-P1P2|H3F3B_+_73775827.23-P1P2	H3F3B	796	100	387	567	161	394	254	354	169	237	246	159	454	631	968	509
PPP1R9A_+_94536913.23-P1P2|PPP1R9A_+_94536988.23-P1P2++PPP1R9A_+_94536913.23-P1P2|PPP1R9A_+_94536988.23-P1P2	PPP1R9A	513	602	575	853	557	1318	974	651	1166	1390	823	1168	2609	461	450	471
non-targeting_00018|non-targeting_00127++non-targeting_00018|non-targeting_00127	non-targeting	1020	749	959	982	1085	1451	1567	1958	1005	1191	1482	1498	3730	786	769	873
ZBTB33_+_119384884.23-P1P2|ZBTB33_-_119384719.23-P1P2++ZBTB33_+_119384884.23-P1P2|ZBTB33_-_119384719.23-P1P2	ZBTB33	1092	389	965	909	532	875	1065	1180	671	788	804	849	2246	955	1522	1182
PRDM7_+_90142235.23-ENST00000449207.2|PRDM7_+_90142232.23-ENST00000449207.2++PRDM7_+_90142235.23-ENST00000449207.2|PRDM7_+_90142232.23-ENST00000449207.2	PRDM7	1590	1211	1271	1351	1907	1576	1761	1637	2113	2370	2002	2209	3313	1039	1109	1242
EVI5L_-_7895125.23-P1P2|EVI5L_-_7895119.23-P1P2++EVI5L_-_7895125.23-P1P2|EVI5L_-_7895119.23-P1P2	EVI5L	1111	1385	1164	1462	1756	1961	1890	1925	2025	2003	2266	1875	4122	811	1080	1005
OARD1_+_41040056.23-P1P2|OARD1_+_41040046.23-P1P2++OARD1_+_41040056.23-P1P2|OARD1_+_41040046.23-P1P2	OARD1	1343	1761	1894	1717	2324	1828	2581	2059	2357	2364	2299	2637	4100	1155	1623	1468
FCER1A_+_159272164.23-P1P2|FCER1A_+_159272173.23-P1P2++FCER1A_+_159272164.23-P1P2|FCER1A_+_159272173.23-P1P2	FCER1A	1184	1217	961	1012	1502	1394	1587	1596	2174	1957	1995	2253	4171	1232	981	1109
PHGDH_-_120254704.23-P1P2|PHGDH_+_120254555.23-P1P2++PHGDH_-_120254704.23-P1P2|PHGDH_+_120254555.23-P1P2	PHGDH	1473	1655	1240	1565	1865	1656	2222	1791	2066	2331	2505	1962	4666	1381	1215	1302
MYO16_+_109318282.23-ENST00000357550.2|MYO16_+_109318263.23-ENST00000357550.2++MYO16_+_109318282.23-ENST00000357550.2|MYO16_+_109318263.23-ENST00000357550.2	MYO16	681	622	546	721	856	823	777	1172	1204	725	1283	1090	2768	531	555	582
EXOSC3_+_37785000.23-P1P2|EXOSC3_+_37785037.23-P1P2++EXOSC3_+_37785000.23-P1P2|EXOSC3_+_37785037.23-P1P2	EXOSC3	276	4	94	133	20	104	46	16	7	8	0	21	91	317	551	622
C1orf51_-_150255008.23-P1P2|C1orf51_-_150254957.23-P1P2++C1orf51_-_150255008.23-P1P2|C1orf51_-_150254957.23-P1P2	C1orf51	2032	1762	1825	1764	2376	2024	1853	1919	2195	2311	2410	2271	5513	1630	1135	1909
LCE2B_-_152658803.23-ENST00000368780.3|LCE2B_-_152658808.23-ENST00000368780.3++LCE2B_-_152658803.23-ENST00000368780.3|LCE2B_-_152658808.23-ENST00000368780.3	LCE2B	942	1177	1225	1259	1427	1116	1301	1366	1451	1549	1525	1584	2921	874	1053	783
LAMTOR4_+_99746556.23-P1P2|LAMTOR4_-_99746568.23-P1P2++LAMTOR4_+_99746556.23-P1P2|LAMTOR4_-_99746568.23-P1P2	LAMTOR4	834	340	996	1112	380	1009	1334	864	459	538	694	571	2646	706	825	966
UCK1_-_134406644.23-P1P2|UCK1_+_134406386.23-P1P2++UCK1_-_134406644.23-P1P2|UCK1_+_134406386.23-P1P2	UCK1	5327	8586	5788	6665	9151	7416	10021	9183	12636	11444	11632	14223	20875	4620	4538	5319
ZNF763_+_12035921.23-P1P2|ZNF763_-_12035979.23-P1P2++ZNF763_+_12035921.23-P1P2|ZNF763_-_12035979.23-P1P2	ZNF763	1367	1631	1498	1129	1819	1573	1860	1927	1791	2035	2445	2539	3159	1128	1392	1562
JAGN1_-_9932340.23-P1P2|JAGN1_-_9932522.23-P1P2++JAGN1_-_9932340.23-P1P2|JAGN1_-_9932522.23-P1P2	JAGN1	1723	1856	2659	3018	2351	2648	3031	2941	2160	2148	2737	2681	5546	1863	1962	1883
NEK1_-_170533689.23-P1P2|NEK1_-_170533724.23-P1P2++NEK1_-_170533689.23-P1P2|NEK1_-_170533724.23-P1P2	NEK1	542	480	276	343	630	546	568	608	528	627	787	883	1125	431	482	634
FUCA2_+_143832841.23-P1P2|FUCA2_+_143832792.23-P1P2++FUCA2_+_143832841.23-P1P2|FUCA2_+_143832792.23-P1P2	FUCA2	1851	2656	1787	1767	2695	1926	2069	3149	3208	3164	2852	3407	5739	1526	1847	1625
CHST8_-_34112913.23-P1P2|CHST8_-_34112910.23-P1P2++CHST8_-_34112913.23-P1P2|CHST8_-_34112910.23-P1P2	CHST8	1322	1413	1516	1512	1743	1417	1534	1576	2012	2056	1952	2591	3571	1060	889	1589
MICU2_-_22178051.23-P1P2|MICU2_+_22178280.23-P1P2++MICU2_-_22178051.23-P1P2|MICU2_+_22178280.23-P1P2	MICU2	1631	2002	2244	1882	2934	2480	2658	2967	2701	3121	3466	3490	5793	1589	1869	1659
MRPS11_-_89010986.23-P1P2|MRPS11_-_89010934.23-P1P2++MRPS11_-_89010986.23-P1P2|MRPS11_-_89010934.23-P1P2	MRPS11	1014	205	874	787	182	721	218	435	223	290	211	125	725	461	731	782
AKAP13_+_85923863.23-P1P2|AKAP13_+_85923876.23-P1P2++AKAP13_+_85923863.23-P1P2|AKAP13_+_85923876.23-P1P2	AKAP13	1680	1999	2077	1824	2420	2107	2452	1740	2589	3321	3141	2631	3782	1265	1414	1494
ZNF408_-_46722609.23-P1P2|ZNF408_-_46722606.23-P1P2++ZNF408_-_46722609.23-P1P2|ZNF408_-_46722606.23-P1P2	ZNF408	1192	1491	1014	956	1504	1144	1502	1852	1897	1657	2042	2092	2938	1040	724	912
KCP_+_128543387.23-P2|KCP_+_128543339.23-P2++KCP_+_128543387.23-P2|KCP_+_128543339.23-P2	KCP	1612	1889	1903	1957	2234	1574	2274	2307	3045	2361	2809	3456	5042	1178	1276	1082
IL1B_+_113594323.23-P1P2|IL1B_-_113594267.23-P1P2++IL1B_+_113594323.23-P1P2|IL1B_-_113594267.23-P1P2	IL1B	1321	1679	1377	1183	2282	1295	1515	1440	2370	2310	2651	2535	3192	924	1097	1195
DCX_+_110654964.23-P1P2|DCX_+_110655355.23-P1P2++DCX_+_110654964.23-P1P2|DCX_+_110655355.23-P1P2	DCX	1340	1413	1450	1501	1381	1538	1517	2048	2205	1778	2041	2404	3414	1178	1012	1063
NOL12_+_38082332.23-P1P2|NOL12_+_38082661.23-P1P2++NOL12_+_38082332.23-P1P2|NOL12_+_38082661.23-P1P2	NOL12	661	35	193	385	5	255	64	52	81	8	0	70	79	678	572	976
FDFT1_+_11666015.23-P2|FDFT1_-_11665998.23-P2++FDFT1_+_11666015.23-P2|FDFT1_-_11665998.23-P2	FDFT1	1121	1363	1061	1415	1536	1531	2020	1710	1773	1953	1741	2653	3508	883	1218	1148
SKOR1_+_68115991.23-P1P2|SKOR1_+_68115704.23-P1P2++SKOR1_+_68115991.23-P1P2|SKOR1_+_68115704.23-P1P2	SKOR1	1938	3003	2572	2593	3156	2672	3761	3418	3739	3276	3394	3826	7933	1639	1793	2238
PEG10_-_94293027.23-P2|PEG10_-_94292943.23-P2++PEG10_-_94293027.23-P2|PEG10_-_94292943.23-P2	PEG10	1415	1730	1158	1312	2218	1960	1494	1962	2254	2089	2720	2495	4047	1053	1464	1001
CENPN_-_81040819.23-P1P2|CENPN_-_81040900.23-P1P2++CENPN_-_81040819.23-P1P2|CENPN_-_81040900.23-P1P2	CENPN	1285	33	520	514	52	443	97	66	61	27	40	15	335	964	1652	1779
JAG2_+_105635126.23-P1P2|JAG2_+_105635091.23-P1P2++JAG2_+_105635126.23-P1P2|JAG2_+_105635091.23-P1P2	JAG2	949	1399	920	1003	1227	955	1190	1351	1912	1726	1456	1854	2877	766	900	875
TMEM121_-_105994983.23-P2|TMEM121_+_105995029.23-P2++TMEM121_-_105994983.23-P2|TMEM121_+_105995029.23-P2	TMEM121	641	787	650	689	544	719	723	1092	704	1016	854	1336	1491	444	688	722
SUN1_-_856299.23-P1|SUN1_-_856275.23-P1++SUN1_-_856299.23-P1|SUN1_-_856275.23-P1	SUN1	1939	2378	1622	1831	2780	1764	2436	2450	3202	2921	4008	3774	4771	1703	1553	1805
TEKT5_+_10788730.23-P1P2|TEKT5_-_10788779.23-P1P2++TEKT5_+_10788730.23-P1P2|TEKT5_-_10788779.23-P1P2	TEKT5	1035	1165	1280	1148	1438	1296	1353	1299	2095	1628	1871	2115	3813	1059	1042	1206
FAM195B_-_79790966.23-P1P2|FAM195B_+_79791130.23-P1P2++FAM195B_-_79790966.23-P1P2|FAM195B_+_79791130.23-P1P2	FAM195B	1698	267	911	719	398	865	549	824	402	587	528	859	1637	1154	1432	1231
SERPINB3_-_61328746.23-P1P2|SERPINB3_-_61328751.23-P1P2++SERPINB3_-_61328746.23-P1P2|SERPINB3_-_61328751.23-P1P2	SERPINB3	693	566	938	1153	1034	1209	1332	1028	1177	1084	974	1612	3077	576	709	740
ARHGEF11_-_157015113.23-P1P2|ARHGEF11_-_157015491.23-P1P2++ARHGEF11_-_157015113.23-P1P2|ARHGEF11_-_157015491.23-P1P2	ARHGEF11	915	1016	653	617	1011	852	1077	1016	866	853	1170	1399	2026	763	1233	1215
CASP4_+_104825682.23-P2|CASP4_+_104825620.23-P2++CASP4_+_104825682.23-P2|CASP4_+_104825620.23-P2	CASP4	540	514	477	664	471	563	721	737	752	489	1286	846	1996	383	319	234
ENTPD5_+_74485933.23-P1P2|ENTPD5_-_74485921.23-P1P2++ENTPD5_+_74485933.23-P1P2|ENTPD5_-_74485921.23-P1P2	ENTPD5	1888	2145	2084	1546	2410	2371	2393	2312	2616	2889	2528	3127	5678	1855	2040	1938
TYW5_+_200820475.23-P1P2|TYW5_+_200820215.23-P1P2++TYW5_+_200820475.23-P1P2|TYW5_+_200820215.23-P1P2	TYW5	1258	1327	1472	1363	1421	1555	1806	1932	1799	1721	1978	1844	4800	926	1195	1028
non-targeting_02748|non-targeting_02806++non-targeting_02748|non-targeting_02806	non-targeting	1127	839	1172	1061	994	1377	1789	1575	1428	1699	1755	2016	3846	696	983	949
WNT7B_+_46373029.23-P1|WNT7B_+_46373013.23-P1++WNT7B_+_46373029.23-P1|WNT7B_+_46373013.23-P1	WNT7B	1292	1516	1729	1249	1929	1806	1729	1446	2110	1754	2236	2303	4425	1251	1079	1423
HNF4G_-_76320305.23-P1|HNF4G_+_76320274.23-P1++HNF4G_-_76320305.23-P1|HNF4G_+_76320274.23-P1	HNF4G	846	178	625	834	235	537	539	739	369	356	341	386	1917	547	779	579
ATP11B_+_182511382.23-P1P2|ATP11B_-_182511533.23-P1P2++ATP11B_+_182511382.23-P1P2|ATP11B_-_182511533.23-P1P2	ATP11B	3641	596	2214	2849	528	2880	1425	1172	562	714	642	612	2746	3568	4081	4539
SLC35E2_-_1677258.23-P1P2|SLC35E2_+_1677243.23-P1P2++SLC35E2_-_1677258.23-P1P2|SLC35E2_+_1677243.23-P1P2	SLC35E2	580	610	692	716	866	738	748	930	1203	1042	716	1342	1751	512	471	770
SEMA3E_-_83278426.23-P1P2|SEMA3E_+_83278377.23-P1P2++SEMA3E_-_83278426.23-P1P2|SEMA3E_+_83278377.23-P1P2	SEMA3E	1380	1781	1350	1308	2052	1548	2260	1948	2355	2059	2104	2062	4154	998	1318	1346
AHNAK_+_62313083.23-P2|AHNAK_+_62313086.23-P2++AHNAK_+_62313083.23-P2|AHNAK_+_62313086.23-P2	AHNAK	1650	2140	1998	1739	2354	2163	2400	2819	3055	2730	2882	2925	5220	1361	1571	1659
EIF4E2_-_233415423.23-P1P2|EIF4E2_-_233415783.23-P1P2++EIF4E2_-_233415423.23-P1P2|EIF4E2_-_233415783.23-P1P2	EIF4E2	1564	1103	1287	1702	1061	1242	1719	2258	1260	1368	1139	1511	4056	1364	1842	1589
ZFX_+_24167908.23-P1P2|ZFX_+_24167904.23-P1P2++ZFX_+_24167908.23-P1P2|ZFX_+_24167904.23-P1P2	ZFX	1365	1233	1541	1137	1428	1309	1643	1389	1576	1571	1530	1846	2694	871	1406	1181
CNOT6L_-_78740440.23-P1P2|CNOT6L_-_78740505.23-P1P2++CNOT6L_-_78740440.23-P1P2|CNOT6L_-_78740505.23-P1P2	CNOT6L	1012	964	934	953	1303	1420	1300	1197	1651	1509	2030	1655	4058	592	892	495
FAM173A_-_771248.23-P1P2|FAM173A_+_771374.23-P1P2++FAM173A_-_771248.23-P1P2|FAM173A_+_771374.23-P1P2	FAM173A	1981	1296	2290	2144	1290	2398	1614	2067	1533	1312	1617	1643	4975	1652	1880	1572
RASD1_-_17399684.23-P1P2|RASD1_-_17399340.23-P1P2++RASD1_-_17399684.23-P1P2|RASD1_-_17399340.23-P1P2	RASD1	1311	52	1697	1454	175	1805	1083	1088	154	137	226	76	2569	939	1675	2315
PRM1_-_11375132.23-P1P2|PRM1_+_11375153.23-P1P2++PRM1_-_11375132.23-P1P2|PRM1_+_11375153.23-P1P2	PRM1	1522	1703	1116	1602	1778	1759	1869	1822	1567	2227	2528	1924	4681	1236	1152	1511
ETV7_+_36355422.23-P1P2|ETV7_-_36355458.23-P1P2++ETV7_+_36355422.23-P1P2|ETV7_-_36355458.23-P1P2	ETV7	699	1072	741	633	946	838	1218	1068	1176	1209	1447	1043	2392	567	805	609
TLR9_-_52259604.23-P1P2|TLR9_-_52259665.23-P1P2++TLR9_-_52259604.23-P1P2|TLR9_-_52259665.23-P1P2	TLR9	1279	1310	1417	1390	1831	1496	2445	1722	2211	2421	2298	2215	5133	1187	923	1213
C19orf59_-_7742040.23-P1P2|C19orf59_-_7742061.23-P1P2++C19orf59_-_7742040.23-P1P2|C19orf59_-_7742061.23-P1P2	C19orf59	667	758	750	607	985	940	1118	926	1329	1345	1438	1385	2565	631	742	406
GPX6_-_28483521.23-ENST00000361902.1|GPX6_-_28483526.23-ENST00000361902.1++GPX6_-_28483521.23-ENST00000361902.1|GPX6_-_28483526.23-ENST00000361902.1	GPX6	1675	1752	1733	1987	2244	1849	2550	2024	2225	2148	3065	2699	4764	1129	1372	1697
LIN7A_+_81331443.23-P1P2|LIN7A_+_81331467.23-P1P2++LIN7A_+_81331443.23-P1P2|LIN7A_+_81331467.23-P1P2	LIN7A	1497	1446	1593	1404	1370	1525	2400	2410	1448	2229	1985	1816	3943	1435	1637	1223
ARF6_-_50359827.23-P1|ARF6_-_50359824.23-P1++ARF6_-_50359827.23-P1|ARF6_-_50359824.23-P1	ARF6	1431	1690	1604	1201	1750	1616	1931	1765	1916	2342	2180	2152	3843	1153	1114	1560
FNBP1_-_132805070.23-P1P2|FNBP1_-_132805415.23-P1P2++FNBP1_-_132805070.23-P1P2|FNBP1_-_132805415.23-P1P2	FNBP1	920	1122	665	1085	999	832	1045	1034	931	1116	1432	1438	2523	507	618	740
ZC3H12D_-_149806033.23-P1P2|ZC3H12D_-_149805935.23-P1P2++ZC3H12D_-_149806033.23-P1P2|ZC3H12D_-_149805935.23-P1P2	ZC3H12D	1356	1113	1053	1314	1896	1449	1762	1701	2063	1901	1940	2081	3295	995	937	969
SPATS2L_-_201171446.23-P1P2|SPATS2L_-_201171431.23-P1P2++SPATS2L_-_201171446.23-P1P2|SPATS2L_-_201171431.23-P1P2	SPATS2L	1670	1946	1522	2150	2595	2309	2550	2749	2244	2718	2879	3200	5201	1546	1283	1408
PPA2_-_106395142.23-P1P2|PPA2_-_106395156.23-P1P2++PPA2_-_106395142.23-P1P2|PPA2_-_106395156.23-P1P2	PPA2	908	333	1403	1202	478	1152	708	774	362	500	618	537	1660	1068	1061	1191
RAB33B_+_140375041.23-P1P2|RAB33B_-_140375012.23-P1P2++RAB33B_+_140375041.23-P1P2|RAB33B_-_140375012.23-P1P2	RAB33B	1891	2624	2053	2382	2394	2065	2855	3313	3627	3911	3198	3499	6930	1635	1744	2165
GRAP_+_18950894.23-ENST00000284154.5|GRAP_+_18950883.23-ENST00000284154.5++GRAP_+_18950894.23-ENST00000284154.5|GRAP_+_18950883.23-ENST00000284154.5	GRAP	1757	1935	1828	1583	2659	2301	1776	1461	3469	3370	3457	4322	4178	1304	1464	1693
MFSD2A_-_40421057.23-P1P2|MFSD2A_-_40420894.23-P1P2++MFSD2A_-_40421057.23-P1P2|MFSD2A_-_40420894.23-P1P2	MFSD2A	1436	1806	2848	2366	1838	2561	2999	2875	2161	2442	2501	2702	6970	1067	1312	1081
SIX3_+_45169152.23-P1P2|SIX3_-_45168925.23-P1P2++SIX3_+_45169152.23-P1P2|SIX3_-_45168925.23-P1P2	SIX3	1288	1204	1247	1040	1308	1383	1711	1845	1755	1642	2034	1790	3034	949	813	1520
ZNF521_-_22932065.23-P1P2|ZNF521_+_22932073.23-P1P2++ZNF521_-_22932065.23-P1P2|ZNF521_+_22932073.23-P1P2	ZNF521	1072	1619	1587	1415	1922	1540	1847	1807	2065	2022	2629	2837	4413	936	1135	1121
ASIC1_+_50451654.23-P1P2|ASIC1_-_50451232.23-P1P2++ASIC1_+_50451654.23-P1P2|ASIC1_-_50451232.23-P1P2	ASIC1	1798	548	1473	1954	872	2004	1643	1778	912	1114	775	1106	3791	1438	1593	2076
FAM26E_-_116832828.23-P1P2|FAM26E_-_116833094.23-P1P2++FAM26E_-_116832828.23-P1P2|FAM26E_-_116833094.23-P1P2	FAM26E	681	540	618	611	932	753	941	1040	1170	1115	1050	1413	1927	709	772	595
INPP5D_-_233925097.23-P1P2|INPP5D_-_233925087.23-P1P2++INPP5D_-_233925097.23-P1P2|INPP5D_-_233925087.23-P1P2	INPP5D	1877	2068	1965	1894	2298	2404	2080	2280	3382	2830	2907	3012	5440	1362	1585	1747
MAT2B_-_162932602.23-P1|MAT2B_-_162932851.23-P1++MAT2B_-_162932602.23-P1|MAT2B_-_162932851.23-P1	MAT2B	934	948	907	959	1162	1090	1562	1550	1288	1209	1816	1585	2911	899	768	912
ZNF571_-_38085628.23-P1P2|ZNF571_-_38085616.23-P1P2++ZNF571_-_38085628.23-P1P2|ZNF571_-_38085616.23-P1P2	ZNF571	1321	1516	1501	1463	1980	1526	1892	2711	2081	2231	2283	2153	3793	1073	1494	1088
UBE2E3_+_181845327.23-P1P2|UBE2E3_+_181845565.23-P1P2++UBE2E3_+_181845327.23-P1P2|UBE2E3_+_181845565.23-P1P2	UBE2E3	1795	2026	1280	1670	2530	1575	2502	2289	2682	2457	2665	2928	4812	1213	1363	1257
TCF24_-_67874776.23-P1P2|TCF24_-_67874801.23-P1P2++TCF24_-_67874776.23-P1P2|TCF24_-_67874801.23-P1P2	TCF24	1115	179	890	840	241	1138	555	580	147	171	343	180	1147	698	1706	1243
ZNF281_+_200379151.23-P1P2|ZNF281_+_200378992.23-P1P2++ZNF281_+_200379151.23-P1P2|ZNF281_+_200378992.23-P1P2	ZNF281	3965	8462	11697	9834	9981	10325	13537	13322	10560	8870	10935	8830	27504	3379	3603	3620
non-targeting_02262|non-targeting_02688++non-targeting_02262|non-targeting_02688	non-targeting	2040	2650	2181	2395	3454	2701	2888	2963	2956	4072	4153	3939	6655	1320	2451	2469
FAM196A_-_128994793.23-P1P2|FAM196A_+_128994814.23-P1P2++FAM196A_-_128994793.23-P1P2|FAM196A_+_128994814.23-P1P2	FAM196A	5166	7176	7233	7854	7982	7450	8783	9662	7385	8724	10248	10167	20227	4723	4526	5360
ZNF689_+_30621680.23-P1P2|ZNF689_-_30621633.23-P1P2++ZNF689_+_30621680.23-P1P2|ZNF689_-_30621633.23-P1P2	ZNF689	865	479	906	674	634	884	1048	831	599	706	702	759	2241	669	633	758
STARD5_-_81616420.23-P1P2|STARD5_+_81616430.23-P1P2++STARD5_-_81616420.23-P1P2|STARD5_+_81616430.23-P1P2	STARD5	1340	1568	1884	1659	2259	2042	2107	2220	1859	2599	2994	2384	4721	1261	1269	1648
MIIP_-_12079558.23-P1P2|MIIP_-_12079598.23-P1P2++MIIP_-_12079558.23-P1P2|MIIP_-_12079598.23-P1P2	MIIP	1014	195	459	507	73	476	242	227	72	144	58	104	579	843	826	998
ATP5SL_-_41945747.23-P1P2|ATP5SL_+_41945774.23-P1P2++ATP5SL_-_41945747.23-P1P2|ATP5SL_+_41945774.23-P1P2	ATP5SL	1656	452	1280	1405	749	1548	882	782	803	995	815	761	2026	1354	1175	1459
TSSC1_+_3381524.23-P1P2|TSSC1_-_3381187.23-P1P2++TSSC1_+_3381524.23-P1P2|TSSC1_-_3381187.23-P1P2	TSSC1	794	558	815	694	951	1017	1227	999	942	1222	1476	1326	2629	487	636	624
ITGB1_+_33247123.23-P1P2|ITGB1_+_33247162.23-P1P2++ITGB1_+_33247123.23-P1P2|ITGB1_+_33247162.23-P1P2	ITGB1	6607	6704	7631	7726	7170	8422	6921	7713	7270	6503	7703	7264	17456	5998	6706	6736
EHD2_-_48216693.23-P1P2|EHD2_-_48216708.23-P1P2++EHD2_-_48216693.23-P1P2|EHD2_-_48216708.23-P1P2	EHD2	1787	2120	2090	1650	2079	1882	2504	2233	2730	2517	2781	2587	5693	1254	2062	1632
CEP128_+_81408038.23-P1P2|CEP128_-_81408010.23-P1P2++CEP128_+_81408038.23-P1P2|CEP128_-_81408010.23-P1P2	CEP128	1566	1369	2250	1865	2338	2705	2303	2346	2313	2522	2366	2845	5935	1112	1153	1405
LEFTY1_+_226076806.23-ENST00000272134.5|LEFTY1_+_226076618.23-ENST00000272134.5++LEFTY1_+_226076806.23-ENST00000272134.5|LEFTY1_+_226076618.23-ENST00000272134.5	LEFTY1	1179	1031	1591	1415	1762	1377	1806	1443	1812	1910	2352	2300	4062	1033	705	930
WARS2_-_119682933.23-P1P2|WARS2_-_119683199.23-P1P2++WARS2_-_119682933.23-P1P2|WARS2_-_119683199.23-P1P2	WARS2	972	191	682	644	90	636	398	365	81	109	141	180	708	817	1005	1168
IGFBPL1_+_38424446.23-P1P2|IGFBPL1_+_38424200.23-P1P2++IGFBPL1_+_38424446.23-P1P2|IGFBPL1_+_38424200.23-P1P2	IGFBPL1	2752	3757	3144	2743	4590	3059	4335	4161	3848	4972	5757	4886	8165	2788	2806	2367
FRG2B_-_135440289.23-ENST00000425520.1,ENST00000443774.1|FRG2B_+_135439854.23-ENST00000425520.1,ENST00000443774.1++FRG2B_-_135440289.23-ENST00000425520.1,ENST00000443774.1|FRG2B_+_135439854.23-ENST00000425520.1,ENST00000443774.1	FRG2B	423	469	465	282	839	589	756	776	830	813	611	820	1681	348	390	580
PGM2_-_37828735.23-P1P2|PGM2_-_37828382.23-P1P2++PGM2_-_37828735.23-P1P2|PGM2_-_37828382.23-P1P2	PGM2	345	41	69	90	52	56	27	34	16	36	17	5	101	241	409	518
