	target	i02	i08	i14	i15	i06	i16	i11	i12	i07	i04	i05	i03	i13	i01	i10	i09
ZNF213_-_3185184.23-P1P2|ZNF213_+_3185157.23-P1P2++ZNF213_-_3185184.23-P1P2|ZNF213_+_3185157.23-P1P2	ZNF213	672	880	835	573	967	805	948	974	1019	1087	1843	1523	1652	753	502	823
ITGB7_+_53600972.23-P1P2|ITGB7_+_53601026.23-P1P2++ITGB7_+_53600972.23-P1P2|ITGB7_+_53601026.23-P1P2	ITGB7	784	845	923	988	1055	1060	1337	1119	1306	1505	1525	1647	3027	861	782	904
KHNYN_+_24899583.23-P1P2|KHNYN_+_24899216.23-P1P2++KHNYN_+_24899583.23-P1P2|KHNYN_+_24899216.23-P1P2	KHNYN	1455	2070	1848	1712	1998	1922	2977	2563	3928	3103	2658	3316	5952	1332	1660	1388
TPGS2_+_34408723.23-P1P2|TPGS2_+_34408720.23-P1P2++TPGS2_+_34408723.23-P1P2|TPGS2_+_34408720.23-P1P2	TPGS2	1068	970	1050	871	1706	1291	1542	1714	1094	1617	1707	2012	2989	1091	1168	1001
HLA-DPB1_+_33043816.23-P1|HLA-DPB1_+_33043843.23-P1++HLA-DPB1_+_33043816.23-P1|HLA-DPB1_+_33043843.23-P1	HLA-DPB1	1914	2603	2034	2451	3310	2996	3466	3803	3638	4015	3845	4378	9303	1629	1924	1653
TRAM2_+_52441579.23-P1P2|TRAM2_+_52441494.23-P1P2++TRAM2_+_52441579.23-P1P2|TRAM2_+_52441494.23-P1P2	TRAM2	2016	1753	1590	1492	2081	2091	2057	2433	2236	2464	2899	2650	4893	1464	1165	1509
GRIA2_+_158141968.23-P1P2|GRIA2_+_158141963.23-P1P2++GRIA2_+_158141968.23-P1P2|GRIA2_+_158141963.23-P1P2	GRIA2	913	1225	1191	900	1129	1215	1146	1476	1434	1583	1835	1546	2902	666	753	955
LGI2_+_25032569.23-P1P2|LGI2_+_25032554.23-P1P2++LGI2_+_25032569.23-P1P2|LGI2_+_25032554.23-P1P2	LGI2	1762	2216	2107	1961	2935	2124	2259	2385	2715	3087	3290	3227	5450	1555	1464	1785
NLRP1_+_5487737.23-P1P2|NLRP1_-_5487693.23-P1P2++NLRP1_+_5487737.23-P1P2|NLRP1_-_5487693.23-P1P2	NLRP1	1518	1347	2121	1977	2159	2001	2982	2905	2053	2085	2402	2613	6327	1359	1719	1774
KCNA4_+_30038363.23-P1P2|KCNA4_+_30038176.23-P1P2++KCNA4_+_30038363.23-P1P2|KCNA4_+_30038176.23-P1P2	KCNA4	880	743	891	931	879	1334	876	1250	1082	1269	1277	1383	2926	719	495	1079
MIR205HG_+_209602181.23-P1|MIR205HG_+_209602193.23-P1++MIR205HG_+_209602181.23-P1|MIR205HG_+_209602193.23-P1	MIR205HG	606	550	284	834	672	513	700	925	758	771	851	1018	1791	350	394	428
OTOL1_-_161214600.23-ENST00000327928.4|OTOL1_+_161214808.23-ENST00000327928.4++OTOL1_-_161214600.23-ENST00000327928.4|OTOL1_+_161214808.23-ENST00000327928.4	OTOL1	638	533	645	700	1166	650	578	930	844	1117	889	923	2069	496	530	625
GLRA2_+_14547655.23-P1P2|GLRA2_+_14547715.23-P1P2++GLRA2_+_14547655.23-P1P2|GLRA2_+_14547715.23-P1P2	GLRA2	1424	1974	1501	2122	1772	1797	2976	2318	2368	2188	2415	2713	5738	1249	1470	1430
ALDH5A1_+_24495207.23-P1P2|ALDH5A1_+_24495537.23-P1P2++ALDH5A1_+_24495207.23-P1P2|ALDH5A1_+_24495537.23-P1P2	ALDH5A1	1284	2157	1431	2001	2289	2032	2402	1866	2370	2355	2594	2718	5066	1084	1307	1403
PLCB2_+_40600105.23-P1P2|PLCB2_-_40599952.23-P1P2++PLCB2_+_40600105.23-P1P2|PLCB2_-_40599952.23-P1P2	PLCB2	2188	2885	1761	1548	3766	1712	1642	1501	3709	3594	3555	3527	5579	1773	1760	1782
TSPEAR_-_46131434.23-P1P2|TSPEAR_-_46131459.23-P1P2++TSPEAR_-_46131434.23-P1P2|TSPEAR_-_46131459.23-P1P2	TSPEAR	1889	2158	1971	1929	3153	2205	2488	3042	2636	3117	3491	4051	6007	1523	1553	1872
NLGN4X_-_6146855.23-P1|NLGN4X_-_6146811.23-P1++NLGN4X_-_6146855.23-P1|NLGN4X_-_6146811.23-P1	NLGN4X	1359	1572	1504	1216	1541	1559	1590	1987	2077	2500	2135	2452	4436	1189	894	1215
CES2_-_66968754.23-P1|CES2_-_66968458.23-P1++CES2_-_66968754.23-P1|CES2_-_66968458.23-P1	CES2	819	1183	960	989	1143	1299	1763	1206	1437	1295	1532	1819	3153	895	796	1051
ICT1_-_73008809.23-P1P2|ICT1_-_73008787.23-P1P2++ICT1_-_73008809.23-P1P2|ICT1_-_73008787.23-P1P2	ICT1	1179	440	995	1266	263	973	620	520	234	422	351	447	1275	1243	1249	1181
ARIH2_+_48956345.23-P1P2|ARIH2_-_48956298.23-P1P2++ARIH2_+_48956345.23-P1P2|ARIH2_-_48956298.23-P1P2	ARIH2	1007	1610	1303	1319	1695	1200	1782	1630	1999	2316	2252	2248	3138	822	1075	1431
POLDIP3_+_43010844.23-P1P2|POLDIP3_+_43010817.23-P1P2++POLDIP3_+_43010844.23-P1P2|POLDIP3_+_43010817.23-P1P2	POLDIP3	906	338	672	547	510	571	597	644	498	445	964	679	1304	709	681	914
GRP_+_56887422.23-P1P2|GRP_-_56887430.23-P1P2++GRP_+_56887422.23-P1P2|GRP_-_56887430.23-P1P2	GRP	2484	3484	2863	2936	3691	2986	3568	4195	3750	4428	4244	4532	8554	1872	2395	2704
